property_code,name,units,models,office,location,equity_investment,analysis_start
perryh,Perry Heights,108,0,0,"Perry, GA",5172275.41,2021-01-01
portico,Portico at Lanier,150,0,0,"Gainesville, GA",12500000.0,2024-12-30
abbeylk,Abbey Lake,152,0,0,"Thomasville, GA",8000000.0,2021-01-01
capella2,Capella,,,,,,
colwds,Colony Woods,,,,,,
emersn,Emerson 1600,,,,,,
hampec,Hamptons at East Cobb,,,,,,
hangar,The Hangar,,,,,,
haven,Haven,,,,,,
manwes,Manchester at Weslyn,,,,,,
marbla,Marbella,,,,,,
marshp,Marsh Point,,,,,,
talloak,Tall Oaks,,,,,,
tapeprk,Tapestry Park,,,,,,
georget,Georgetown,102,0,0,"Moultrie, GA",5065000.0,2025-02-17
longvw,Longview,135,0,0,"Concord, NC",3307229.25,2016-01-01
kenplc,Kensington Place,128,0,0,"Greensboro, NC",3579569.44,2021-01-01
wdlndcm,Woodland Commons,200,0,0,"Newnan, GA",14989000.0,2025-04-07
turn,The Turn,200,0,0,"Augusta, GA",14989000.0,2025-03-24
55pharr,55 PHARR,121,2,,"ATLANTA, GA",,
